Book Name,Author Name,Publisher Name,List Price,Selling Price,Binding,Release Date,Language
The Philosophy of Susanne Langer,Adrienne Dengerink Chaplin,Bloomsbury Academic,Not mentioned,"Rs.3,408",Paperback,22 Apr 2021,English

99 Names of God,David Steindl-Rast,Orbis Books,"Rs.1,540","Rs.1,124",Paperback,21 Apr 2021,English

Bright & Shiny: Animals,Not mentioned,Rainstorm,Rs.693,Rs.554,Board book,06 Apr 2021,English

scikit-learn Cookbook - Second Edition,Trent Hauck,Packt Publishing,Not mentioned,"Rs.3,738",Paperback,15 Nov 2017,English

Deep Learning with Python,Francois Chollet,Manning Publications,Not mentioned,"Rs.2,486",Paperback,22 Dec 2017,English

The Art of R Programming,Norman Matloff,No Starch Press,"Rs.3,077","Rs.2,000",Paperback,11 Oct 2011,English

Core Python Applications Programming,Wesley J. Chun,Pearson Education,Rs.725,Rs.573,Paperback,2015,Not mentioned

Data Structures and Algorithms Made Easy,Narasimha Karumanchi,CareerMonk Publications,"Rs.2,310","Rs.2,079",Paperback,28 Aug 2016,English

Parks Text Book Of Preventive & Social Medicine,Not mentioned,Banarsidas Bhanot Publishers,"Rs.1,200",Rs.696,Hardcover,2017-01,Not mentioned

Learning Flask Framework,Matt Copperwaite,Packt Publishing,Not mentioned,"Rs.3,314",Paperback,30 Nov 2015,English

Oxford School ATLAS,Not mentioned,Oxford University Press,Rs.400,Rs.364,Paperback,2017,Not mentioned

Red Hat Enterprise Linux Server Cookbook,William Leemans,Packt Publishing,Not mentioned,"Rs.3,642",Paperback,25 Dec 2015,English

"Bailey & Love's Short Practice of Surgery, 27th Edition: International Student's Edition",P Ronan O'connell,CRC Press,"Rs.5,475","Rs.3,121",Paperback,Not mentioned,English

"Diseases of Ear, Nose and Throat",P L Dhingra,Elsevier,"Rs.1,520","Rs.1,140",Paperback,25 Sep 2017,English

Deep Learning,Francis Bach,Mit Press,"Rs.6,112","Rs.4,095",Hardback,18 Nov 2016,English

You Can Win,Shiv Khera,Bloomsbury Publishing PLC,Rs.399,Rs.279,Paperback,05 Dec 2013,English

Windows 10 for Enterprise Administrators,Zane Williams,Packt Publishing,Not mentioned,"Rs.4,155",Paperback,08 Sep 2017,English

The E Myth Revisited,Michael E Gerber,HarperBusiness,Rs.699,Rs.482,Paperback,14 Oct 2004,English

Nearing Home, Billy Graham,Thorndike Press,Not mentioned,"Rs.2,355",Hardback,04 Jan 2012,English

Such Wicked Intent,Kenneth Oppel,Simon & Schuster Books for Young Readers,"Rs.1,291","Rs.1,043",Hardback,21 Aug 2012,English

Every Time I Think of You,Jim Provenzano,Createspace Independent Publishing Platform,"Rs.1,152","Rs.1,106",Paperback,25 Mar 2012,English

The Back in the Swing Cookbook,Barbara C Unell,Andrews McMeel Publishing,"Rs.2,279","Rs.2,006",Hardback,07 Aug 2012,English

Assassin's Game,Peggy Lang,Createspace Independent Publishing Platform,"Rs.1,078","Rs.1,056",Paperback,10 Aug 2012,English

Duty,Martin Roy Hill,Createspace Independent Publishing Platform,Not mentioned,Rs.467,Paperback,13 Aug 2012,English

Passionate Commitments,Julia M Allen,State University of New York Press,Not mentioned,"Rs.7,861",Hardback,01 Jun 2013,English

Sex & Violence,Carrie Mesrobian,Carolrhoda Lab (R),"Rs.1,364","Rs.1,104",Hardback,01 Oct 2013,English

How Long?,Igor Sinkovec,Picture Window Books,"Rs.2,207","Rs.1,920",Hardback,01 Jul 2013,English

Outlaw,Ted Dekker,Center Street,"Rs.2,079","Rs.1,933",Hardback,22 Oct 2013,English

Changes,Pamela Nowak,Five Star (ME),"Rs.1,972","Rs.1,498",Hardback,21 Aug 2013,English

The Travel Mamas' Guide,Colleen Lanin,Createspace Independent Publishing Platform,"Rs.1,155","Rs.1,086",Paperback,07 May 2013,English

Holman Study Bible-NKJV, Holman Bible Staff,Holman Bibles,"Rs.6,160","Rs.5,544",Leather / fine binding,01 Sep 2013,English

Belen,Baldwin G Burr,Arcadia Publishing (SC),"Rs.1,671","Rs.1,257",Paperback,14 Oct 2013,English

La Llorona . . .,Beatlick Press,Createspace Independent Publishing Platform,"Rs.1,001",Rs.961,Paperback,29 Feb 2012,English

Storm,Donna Jo Napoli,Simon & Schuster/Paula Wiseman Books,"Rs.1,367","Rs.1,103",Hardback,11 Feb 2014,English

The Thacher School, John Taylor,Arcadia Publishing (SC),"Rs.1,671","Rs.1,263",Paperback,09 Dec 2013,English

Rawhide Robinson Rides the Range,Rod Miller,Five Star (ME),"Rs.1,972","Rs.1,458",Hardback,22 Jan 2014,English

Gotham Unbound,Ted Steinberg,Simon & Schuster,"Rs.2,432","Rs.1,973",Hardback,03 Jun 2014,English

The Vinedresser's Notebook,Judith Sutera,Abingdon Press,"Rs.1,215",Rs.908,Paperback,15 Apr 2014,English

Searching for Silverheels,Jeannie Mobley,Margaret K. McElderry Books,"Rs.1,291","Rs.1,039",Hardback,02 Sep 2014,English

Gotham Diaries,Crystal McCrary Anthony,Hachette Books,"Rs.1,925","Rs.1,694",Hardback,01 Jul 2004,English

Seducing Mr. Darcy,Gwyn Cready,Pocket Books,Rs.607,Rs.527,Paperback,29 Jul 2008,English

Take No Prisoners,Not mentioned,Pocket Star                             ,Rs.759,Rs.626,Paperback,21 Oct 2008,English

The McElderry Book of Aesop's Fables,Mario Morpurgo,Margaret K McElderry                    ,"Rs.1,899","Rs.1,614",Hardback,01 Jun 2005,English

Words to My Life's Song,Ashley Bryan,Atheneum Books for Young Readers,"Rs.1,540","Rs.1,463",Hardback,06 Jan 2009,English

Blank Confession,Pete Hautman ,Simon & Schuster Books for Young Readers,"Rs.1,291","Rs.1,003",Hardback,16 Nov 2010,English

Alphabet Animals,Suse MacDonald,Little Simon,"Rs.1,139","Rs.1,051",Hardback,03 Jun 2008,English

Sea of the Dead,Julia Durango,Simon & Schuster Books for Young Readers,"Rs.1,291",Rs.987,Hardback,21 Jul 2009,English

The Other Side of Dark,Sarah Smith,Atheneum Books for Young Readers,"Rs.1,291","Rs.1,116",Hardback,02 Nov 2010,English

Finding Emilie,Laurel Corona,Gallery Books,"Rs.2,079","Rs.1,726",Paperback,12 Apr 2011,English

Ojai Valley School,Lynn Yoakum Taylor,Arcadia Publishing (SC),"Rs.1,694","Rs.1,287",Paperback,01 Dec 2014,English

Circe,Madeline Miller,Little Brown and Company,"Rs.2,156","Rs.1,639",Hardback,10 Apr 2018,English

Out of the Dark,Gregg Hurwitz,Minotaur Books,"Rs.2,156",Rs.690,Hardback,29 Jan 2019,English

Liar Liar,James Patterson ,Little Brown and Company,"Rs.2,156","Rs.1,639",Hardback,14 Jan 2019,English

An Anonymous Girl,GREER HENDRICKS,St. Martin's Press,"Rs.2,156","Rs.1,639",Hardback,08 Jan 2019,English

Judgment,Joseph Finder,Dutton Books,"Rs.2,156","Rs.1,445",Hardback,29 Jan 2019,English

The First Conspiracy,Brad Meltzer ,Flatiron Books                          ,"Rs.2,310","Rs.1,733",Hardback,08 Jan 2019,English

Sold on a Monday,Kristina McMorris,Sourcebooks Landmark,"Rs.1,232",Rs.973,Paperback,28 Aug 2018,English

